Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
39,"L. Jovanovic","Improving Phishing Website Detection Using a Hybrid Two-level Framework for Feature Selection and XGBoost Tuning",2023,"Journal of Web Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85167715224&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85167715224&origin=inward",1,"2025-06-19 10:19:21","Article","10.13052/jwe1540-9589.2237","1540-9589","https://api.elsevier.com/content/abstract/scopus_id/85167715224",22,3,543,574,39,19.50,39,1,2,"","",""
21,"D. Park","A Study on Performance Improvement of Prompt Engineering for Generative AI with a Large Language Model",2023,"Journal of Web Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85187943790&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85187943790&origin=inward",2,"2025-06-19 10:19:21","Article","10.13052/jwe1540-9589.2285","1540-9589","https://api.elsevier.com/content/abstract/scopus_id/85187943790",22,8,1187,1206,21,10.50,21,1,2,"","",""
10,"R. Alatrash","Fine-grained Sentiment-enhanced Collaborative Filtering-based Hybrid Recommender System",2023,"Journal of Web Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85187927967&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85187927967&origin=inward",3,"2025-06-19 10:19:21","Article","10.13052/jwe1540-9589.2273","1540-9589","https://api.elsevier.com/content/abstract/scopus_id/85187927967",22,7,983,1035,10,5.00,10,1,2,"","",""
8,"M. Ennaouri","Machine Learning Approaches for Fake Reviews Detection: A Systematic Literature Review",2023,"Journal of Web Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85182224595&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85182224595&origin=inward",4,"2025-06-19 10:19:21","Review","10.13052/jwe1540-9589.2254","1540-9589","https://api.elsevier.com/content/abstract/scopus_id/85182224595",22,5,821,848,8,4.00,8,1,2,"","",""
8,"S. Kwon","Exploring LLM-based Automated Repairing of Ansible Script in Edge-Cloud Infrastructures",2023,"Journal of Web Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85182708548&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85182708548&origin=inward",5,"2025-06-19 10:19:21","Article","10.13052/jwe1540-9589.2263","1540-9589","https://api.elsevier.com/content/abstract/scopus_id/85182708548",22,6,889,912,8,4.00,8,1,2,"","",""
7,"J.S. Alqurni","Evaluating the User Interface and Usability Approaches for E-Learning Systems",2023,"International Journal of Information Technology and Web Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85177765990&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85177765990&origin=inward",6,"2025-06-19 10:19:21","Article","10.4018/IJITWE.333638","1554-1045","https://api.elsevier.com/content/abstract/scopus_id/85177765990",18,1,,,7,3.50,7,1,2,"","",""
6,"J. Choi","Just-in-Time Defect Prediction for Self-driving Software via a Deep Learning Model",2023,"Journal of Web Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85164520528&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85164520528&origin=inward",7,"2025-06-19 10:19:21","Article","10.13052/jwe1540-9589.2225","1540-9589","https://api.elsevier.com/content/abstract/scopus_id/85164520528",22,2,303,326,6,3.00,6,1,2,"","",""
6,"S. Ketineni","Metaheuristic Aided Improved LSTM for Multi-document Summarization: A Hybrid Optimization Model",2023,"Journal of Web Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85179076950&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85179076950&origin=inward",8,"2025-06-19 10:19:21","Article","10.13052/jwe1540-9589.2246","1540-9589","https://api.elsevier.com/content/abstract/scopus_id/85179076950",22,4,701,730,6,3.00,6,1,2,"","",""
6,"C. Zonyfar","HCNN-LSTM: Hybrid Convolutional Neural Network with Long Short-Term Memory Integrated for Legitimate Web Prediction",2023,"Journal of Web Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85181931189&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85181931189&origin=inward",9,"2025-06-19 10:19:21","Article","10.13052/jwe1540-9589.2251","1540-9589","https://api.elsevier.com/content/abstract/scopus_id/85181931189",22,5,757,782,6,3.00,6,1,2,"","",""
6,"L. Chen","Application of Big Data in Entrepreneurship and Innovation Education for Higher Vocational Teaching",2023,"International Journal of Information Technology and Web Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85179130716&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85179130716&origin=inward",10,"2025-06-19 10:19:21","Article","10.4018/IJITWE.333898","1554-1045","https://api.elsevier.com/content/abstract/scopus_id/85179130716",18,1,,,6,3.00,6,1,2,"","",""
